Pe,Qe,Pe_index,Qe_index,current,gradient_norm,stationary,accepted,radius_used,inside_direct_radius,iterations,stopped_reason,status,parent_Pe,parent_Qe,elapsed_seconds
7.943282347242818,0.15848931924611134,19,2,0.454047245788434,1.5021405780204264,False,False,0.7560948428845253,False,100,maximum iterations reached,rejected: outside radius or no improvement,6.309573444801933,0.15848931924611134,898.0176751613617
10.0,0.15848931924611134,20,2,0.5549990103638384,1.9155009186666638,False,False,0.7050213331276325,False,99,Armijo line-search failure,rejected: outside radius or no improvement,7.943282347242818,0.15848931924611134,2385.02250289917
10.0,0.19952623149688797,20,3,0.5542429081757962,1.9122824678727226,False,False,0.7053759789641942,False,100,maximum iterations reached,rejected: outside radius or no improvement,10.0,0.15848931924611134,1619.1794924736023
7.943282347242818,0.19952623149688797,19,3,0.453255597526253,1.498866918753721,False,False,0.7565904701492009,False,100,maximum iterations reached,rejected: outside radius or no improvement,10.0,0.19952623149688797,1182.8694024085999
6.309573444801933,0.19952623149688797,18,3,0.3506417039968358,1.1183616507747103,False,False,0.8360843715109582,False,100,maximum iterations reached,rejected: outside radius or no improvement,7.943282347242818,0.19952623149688797,804.9871652126312
5.011872336272725,0.19952623149688797,17,3,0.2580072208760079,0.8004692766767979,False,False,0.9506249197743815,False,92,objective tolerance,rejected: outside radius or no improvement,6.309573444801933,0.19952623149688797,1008.9801371097565
3.981071705534973,0.19952623149688797,16,3,0.18191985214273057,0.5534657722136795,False,False,1.1090109156989545,True,100,maximum iterations reached,rejected: outside radius or no improvement,5.011872336272725,0.19952623149688797,709.2396783828735
3.1622776601683795,0.19952623149688797,15,3,0.12400193389140533,0.37230962563956804,False,False,1.2577384545055295,True,55,objective tolerance,rejected: outside radius or no improvement,3.981071705534973,0.19952623149688797,1664.0147759914398
2.511886431509581,0.19952623149688797,14,3,0.0824234757674445,0.245338834873615,False,False,1.362338509934889,True,44,objective tolerance,rejected: outside radius or no improvement,3.1622776601683795,0.19952623149688797,1243.3302619457245
1.9952623149688797,0.19952623149688797,13,3,0.053823000400533075,0.15931483485449408,False,False,1.4928939573273081,True,66,objective tolerance,rejected: outside radius or no improvement,2.511886431509581,0.19952623149688797,58420.5392742157
1.584893192461114,0.19952623149688797,12,3,0.10098160611047644,7.613679450492407e-07,True,True,1.0391559251466738,True,42,objective tolerance,accepted,1.9952623149688797,0.19952623149688797,446.13735008239746
